ExtensibilityAPI_Version,2.0.8.0
ExternalRulesCount,0
ExternalRulesExecuted,0
PartitionKey,01969147-3c0d-77d2-adc6-b547d5109a06
LicenseData,0fc3965b-27ba-439d-a035-632d5aa5eac3
ProductName,Snowflake Snow Conversion Tool 29.2.43+Branch.master.Sha.c9555204a0583d71aa0656b8b29c9f6fd7c2bca9
CoreVersion,29.2.43
AppVersion,1.4.1.0
SourceLanguage,Transact
OSVersion,Microsoft Windows NT 10.0.19045.0
SystemRAM,Data not provided
SystemCPU,Data not provided
RunAsAdmin,Data not provided
SnowScript,True
WorkloadName,
StartConversion,2025-05-02 19:25:00 +05:30
CreateSession,2025-05-02 19:25:00 +05:30
ConversionSpeed,243
ElapsedTime,00:00:13
EndConversion,2025-05-02 19:25:13 +05:30
ParsingTime,1.0453098
FilesWithUnexpectedEncoding,0
FillSymbolStep1Time,1.5520055
FillSymbolStep2Time,6.6847806
ResolveDependencyTime,0
PreprocessingTime,0.4431569
PreConversionAssessmentTime,0.4549632
TransformationTime,0.9597168
CloseSession,2025-05-02 19:25:13 +05:30
SqlLinesCount,3283
SqlFileCount,4
SqlSizeMB,0.14MB
SqlFilesNotGenerated,0
SqlLoCConversionRate,81.33
SqlCharacterConversionRate,75.2
SqlUnrecognizedElementsLOC,0
SqlTotalOccurrences,4
SqlFullyConvertedOccurrences,0
SqlFilesConversionRate,100
SqlTotalParsingErrors,2
SqlTotalConversionErrors,0
SqlTotalWarnings,571
SqlTotalCharacters,122972
TotalFiles,4
TotalFilesNotGenerated,0
TotalLinesOfCode,3283
TotalSize,0.14MB
TotalNonParsingTransformationExceptions,11
TotalErrors,294
TotalWarnings,281
TotalParsingErrors,2
TotalConversionErrors,0
TotalCharacterConversionRate,75.2
TotalLoCConversionRate,81.33
TotalIdentifiedObjects,205
UnrecognizedElements,0
UnrecognizedElementsLOC,0
CodeCompletenessScore,93.6
ObjectsSuccessfullyConverted,128
ObjectConversionRate,62.44
TableObjectConversionRate,53.21
TableCharacterConversionRate,91.97
TableLoCConversionRate,88.73
TableFullyConvertedOccurrences,58
TableTotalOccurrences,109
TableTotalParsingErrors,0
TableTotalConversionErrors,0
TableTotalWarnings,350
TableTotalCharacters,49682
TableTotalLinesOfCode,1207
ViewObjectConversionRate,79.07
ViewCharacterConversionRate,52.79
ViewLoCConversionRate,76.72
ViewFullyConvertedOccurrences,34
ViewTotalOccurrences,43
ViewTotalParsingErrors,0
ViewTotalConversionErrors,0
ViewTotalWarnings,109
ViewTotalCharacters,41047
ViewTotalLinesOfCode,859
ProcedureObjectConversionRate,21.05
ProcedureCharacterConversionRate,74.26
ProcedureLoCConversionRate,68.46
ProcedureFullyConvertedOccurrences,4
ProcedureTotalOccurrences,19
ProcedureTotalParsingErrors,0
ProcedureTotalConversionErrors,0
ProcedureTotalWarnings,69
ProcedureTotalCharacters,17969
ProcedureTotalLinesOfCode,612
ProcedureCursorOccurrences,0
ProcedureLoopOccurrences,0
FetchInLoop,0
ProceduresWithFetchInLoop,0
FunctionsWithFetchInLoop,0
CursorsWithVariablesOrParameters,0
ProceduresWithCursorsWithVariablesOrParameters,0
FunctionsWithCursorsWithVariablesOrParameters,0
FunctionObjectConversionRate,90.91
FunctionCharacterConversionRate,90.48
FunctionLoCConversionRate,100
FunctionFullyConvertedOccurrences,20
FunctionTotalOccurrences,22
FunctionTotalParsingErrors,0
FunctionTotalConversionErrors,0
FunctionTotalWarnings,7
FunctionTotalCharacters,21981
FunctionTotalLinesOfCode,332
SqlTableObjectConversionRate,53.21
SqlTableLoCConversionRate,88.73
SqlTableTotalOccurrences,109
SqlTableFullyConvertedOccurrences,58
SqlTableTotalLinesOfCode,1207
SqlTableTotalCharacters,49682
SqlTableTotalParsingErrors,0
SqlTableTotalWarnings,350
SqlTableTotalConversionErrors,0
SqlTableCharacterConversionRate,91.97
SqlViewObjectConversionRate,79.07
SqlViewLoCConversionRate,76.72
SqlViewTotalOccurrences,43
SqlViewFullyConvertedOccurrences,34
SqlViewTotalLinesOfCode,859
SqlViewTotalCharacters,41047
SqlViewTotalParsingErrors,0
SqlViewTotalConversionErrors,0
SqlViewTotalWarnings,109
SqlViewCharacterConversionRate,52.79
SqlProcedureObjectConversionRate,21.05
SqlProcedureLoCConversionRate,68.46
SqlProcedureTotalOccurrences,19
SqlProcedureFullyConvertedOccurrences,4
SqlProcedureTotalLinesOfCode,612
SqlProcedureTotalCharacters,17969
SqlProcedureTotalParsingErrors,0
SqlProcedureTotalConversionErrors,0
SqlProcedureTotalWarnings,69
SqlProcedureCharacterConversionRate,74.26
SqlFunctionObjectConversionRate,90.91
SqlFunctionLoCConversionRate,100
SqlFunctionTotalOccurrences,22
SqlFunctionFullyConvertedOccurrences,20
SqlFunctionTotalLinesOfCode,332
SqlFunctionTotalCharacters,21981
SqlFunctionTotalParsingErrors,0
SqlFunctionTotalConversionErrors,0
SqlFunctionTotalWarnings,7
SqlFunctionCharacterConversionRate,90.48
BasicCursor,0
ProceduresWithBasicCursor,0
FunctionsWithBasicCursor,0
CursorForUpdate,0
ProceduresWithCursorForUpdate,0
FunctionsWithCursorForUpdate,0
FetchStatement,0
ProceduresWithFetchStatement,0
FunctionsWithFetchStatement,0
DynamicTotalStatements,0
DynamicTotalTables,0
DynamicTotalViews,0
DynamicExecuteStatements,0
ProceduresWithDynamicExecuteStatements,0
FunctionsWithDynamicExecuteStatements,0
DynamicProcedureCallStatements,0
TotalValidatedFiles,0
TotalInvalidFiles,0
InvalidEncodings,0
InvalidExtensions,0
InvalidSystemObjects,0
CodeUnitsOutOfScopePercentage,0
CodeUnitsOutOfScope,0
FunctionalDifferenceMessages,277
PerformanceReviews,4
TotalParsingEWIs,0
TotalOtherEWIs,294
OtherCriticalIssues,0
UniqueOtherCriticalIssues,0
UniqueParsingIssues,0
UniqueFDMs,10
UniquePRFs,1
TotalMissingObjectReferences,91
UniqueMissingObjectReferences,20
Triggers,0
TriggerLinesOfCode,0
GrantStatements,0
GrantStatementLinesOfCode,0
TotalCodeUnits,406
FullyConvertedCodeUnitsRate,76.6
UnScopeJavaFunctionsObjects,0
UnScopeJavaFunctionsLoC,0
UnScopeCFunctionsObjects,0
UnScopeCFunctionsLoC,0
UnScopeJavaProceduresObjects,0
UnScopeJavaProceduresLoC,0
UnScopeCProceduresObjects,0
UnScopeCProceduresLoC,0
FunctionMultiStatementTableValuedCount,1
FunctionInlineTableValuedCount,0
FunctionTableValuedLoc,65
FunctionSimpleScalarCount,3
FunctionMultiStatementScalarCount,19
ScalarFunctionLoc,810
FunctionScalarCount,22
UdfCallsInDDLCount,2
UdfCallsInDMLCount,0
TemporaryTables,0
GlobalTemporaryTables,0
DynamicInsertStatements,0
ProceduresWithDynamicInsertStatements,0
FunctionsWithDynamicInsertStatements,0
TriggerObjectConversionRate,0
TriggerCharacterConversionRate,0
TriggerLoCConversionRate,0
TriggerTotalOccurrences,0
TriggerFullyConvertedOccurrences,0
TriggerTotalCharacters,0
TriggerTotalLinesOfCode,0
TriggerTotalParsingErrors,0
TriggerTotalConversionErrors,0
TriggerTotalWarnings,0
SqlTriggerObjectConversionRate,0
SqlTriggerCharacterConversionRate,0
SqlTriggerLoCConversionRate,0
SqlTriggerTotalOccurrences,0
SqlTriggerFullyConvertedOccurrences,0
SqlTriggerTotalCharacters,0
SqlTriggerTotalLinesOfCode,0
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalConversionErrors,0
SqlTriggerTotalWarnings,0
SqlIndexTotalOccurrences,12
