ExtensibilityAPI_Version,2.0.8.0
SqlIndexTotalConversionErrors,0
SqlIndexTotalParsingErrors,0
SqlIndexTotalLinesOfCode,14
MaterializedViewObjectConversionRate,0
MaterializedViewCharacterConversionRate,0
MaterializedViewLoCConversionRate,0
MaterializedViewFullyConvertedOccurrences,0
MaterializedViewTotalOccurrences,0
MaterializedViewTotalParsingErrors,0
MaterializedViewTotalConversionErrors,0
MaterializedViewTotalWarnings,0
MaterializedViewTotalCharacters,0
MaterializedViewTotalLinesOfCode,0
SqlMaterializedViewObjectConversionRate,0
SqlMaterializedViewCharacterConversionRate,0
SqlMaterializedViewLoCConversionRate,0
SqlMaterializedViewFullyConvertedOccurrences,0
SqlMaterializedViewTotalOccurrences,0
SqlMaterializedViewTotalParsingErrors,0
SqlMaterializedViewTotalConversionErrors,0
SqlMaterializedViewTotalWarnings,0
SqlMaterializedViewTotalCharacters,0
SqlMaterializedViewTotalLinesOfCode,0
MaterializedViewsReferencingMultipleObjects,0
ViewsWithSelectAsteriskOnly,0
CaseInsensitiveCollationColumns,0
TablesWithCaseInsensitiveCollationColumns,0
NestedTransactionsInTransactions,0
TransactionsWithNestedTransactions,0
NestedCursors,0
ProceduresWithNestedCursors,0
FunctionsWithNestedCursors,0
TransformUseDatabase,0
CommentObjectsWithMissingDependencies,Off
DisableEwiCommentsGeneration,Off
EncodingOfTheInputFiles,Unicode (UTF-8)
CustomDatabaseName,None
CustomSchemaName,None
UseNoneSchema,On
UseExistingNameQualification,Off
PrepareMyCodeForConversion,Off
UseLinesOfCodeConversionRate,On
UseCharactersConversionRate,Off
SnowflakeScriptingAsTargetLanguage,On
JavaScriptAsTargetLanguage,Off
WarehouseName,UPDATE_DUMMY_WAREHOUSE
TargetLagValue,1 day
