ExtensibilityAPI_Version,2.0.8.0
FunctionMultiStatementTableValuedCount,0
FunctionInlineTableValuedCount,0
FunctionTableValuedLoc,0
FunctionSimpleScalarCount,0
FunctionMultiStatementScalarCount,7
ScalarFunctionLoc,113
FunctionScalarCount,8
UdfCallsInDDLCount,0
UdfCallsInDMLCount,0
TemporaryTables,0
GlobalTemporaryTables,0
DynamicInsertStatements,0
ProceduresWithDynamicInsertStatements,0
FunctionsWithDynamicInsertStatements,0
TriggerObjectConversionRate,0
TriggerCharacterConversionRate,0
TriggerLoCConversionRate,0
TriggerTotalOccurrences,20
TriggerFullyConvertedOccurrences,0
TriggerTotalCharacters,5570
TriggerTotalLinesOfCode,230
TriggerTotalParsingErrors,0
TriggerTotalConversionErrors,0
TriggerTotalWarnings,40
SqlTriggerObjectConversionRate,0
SqlTriggerCharacterConversionRate,0
SqlTriggerLoCConversionRate,0
SqlTriggerTotalOccurrences,20
SqlTriggerFullyConvertedOccurrences,0
SqlTriggerTotalCharacters,5570
SqlTriggerTotalLinesOfCode,230
SqlTriggerTotalParsingErrors,0
SqlTriggerTotalConversionErrors,0
SqlTriggerTotalWarnings,40
SqlIndexTotalOccurrences,0
SqlIndexTotalConversionErrors,0
SqlIndexTotalParsingErrors,0
SqlIndexTotalLinesOfCode,0
MaterializedViewObjectConversionRate,0
MaterializedViewCharacterConversionRate,0
MaterializedViewLoCConversionRate,0
MaterializedViewFullyConvertedOccurrences,0
MaterializedViewTotalOccurrences,0
MaterializedViewTotalParsingErrors,0
MaterializedViewTotalConversionErrors,0
MaterializedViewTotalWarnings,0
MaterializedViewTotalCharacters,0
MaterializedViewTotalLinesOfCode,0
SqlMaterializedViewObjectConversionRate,0
SqlMaterializedViewCharacterConversionRate,0
SqlMaterializedViewLoCConversionRate,0
SqlMaterializedViewFullyConvertedOccurrences,0
SqlMaterializedViewTotalOccurrences,0
SqlMaterializedViewTotalParsingErrors,0
SqlMaterializedViewTotalConversionErrors,0
SqlMaterializedViewTotalWarnings,0
SqlMaterializedViewTotalCharacters,0
SqlMaterializedViewTotalLinesOfCode,0
MaterializedViewsReferencingMultipleObjects,0
ViewsWithSelectAsteriskOnly,0
CaseInsensitiveCollationColumns,0
TablesWithCaseInsensitiveCollationColumns,0
NestedTransactionsInTransactions,0
TransactionsWithNestedTransactions,0
NestedCursors,0
ProceduresWithNestedCursors,0
FunctionsWithNestedCursors,0
TransformUseDatabase,0
CommentObjectsWithMissingDependencies,Off
DisableEwiCommentsGeneration,Off
EncodingOfTheInputFiles,Unicode (UTF-8)
CustomDatabaseName,None
CustomSchemaName,None
UseNoneSchema,On
UseExistingNameQualification,Off
PrepareMyCodeForConversion,Off
UseLinesOfCodeConversionRate,On
UseCharactersConversionRate,Off
SnowflakeScriptingAsTargetLanguage,On
JavaScriptAsTargetLanguage,Off
WarehouseName,UPDATE_DUMMY_WAREHOUSE
TargetLagValue,1 day
