PartitionKey,FileType,Category,CodeUnit,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,FUNCTION,CREATE FUNCTION,dbo.GetTotalOrdersForCustomer(INT),SQ_SRV_functions_demo.sql,1,32,0,1,0,N/A,N/A,N/A,SSC-FDM-0019,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,144,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,OUT OF SCOPE,CREATE TRIGGER,trg_LogDelayedShipments,SqlServ_triggers_demo.sql,134,10,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,N/A,N/A
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,131,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,OUT OF SCOPE,CREATE TRIGGER,trg_AutoReorderStock,SqlServ_triggers_demo.sql,120,11,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,N/A,N/A
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,117,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,OUT OF SCOPE,CREATE TRIGGER,trg_LogInventoryRestock,SqlServ_triggers_demo.sql,106,11,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,N/A,N/A
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,103,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,OUT OF SCOPE,CREATE TRIGGER,trg_PreventShippedOrderCancellation,SqlServ_triggers_demo.sql,91,12,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,N/A,N/A
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,88,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,OUT OF SCOPE,CREATE TRIGGER,trg_UpdateSupplierPerformance,SqlServ_triggers_demo.sql,75,13,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,N/A,N/A
0196bac7-895c-71d0-bec4-cde3b3063d35,SQL,SESSION / BATCH CONTROL,GO,N/A,SqlServ_triggers_demo.sql,72,1,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%
