SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
0196bac7-895c-71d0-bec4-cde3b3063d35,DML,UPDATE,SQL,15,7
0196bac7-895c-71d0-bec4-cde3b3063d35,Query,SET,SQL,15,7
0196bac7-895c-71d0-bec4-cde3b3063d35,Functions & Expressions,SUM,SQL,9,0
0196bac7-895c-71d0-bec4-cde3b3063d35,DDL Content,DEFAULT COLUMN,SQL,10,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Query,RETURNS,SQL,8,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Statement - Control of Flow,IF...ELSE,SQL,9,6
0196bac7-895c-71d0-bec4-cde3b3063d35,Statement,RETURN,SQL,14,4
0196bac7-895c-71d0-bec4-cde3b3063d35,Query,THEN,SQL,3,0
0196bac7-895c-71d0-bec4-cde3b3063d35,DDL Content,DEFAULT,SQL,10,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Data Type,VARBINARY,SQL,1,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Query,ORDER BY,SQL,2,1
0196bac7-895c-71d0-bec4-cde3b3063d35,DDL Content,UNIQUE COLUMN,SQL,1,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Operator,AND,SQL,6,4
0196bac7-895c-71d0-bec4-cde3b3063d35,Query,HAVING,SQL,1,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Data Type,NVARCHAR,SQL,40,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Statement - Control of Flow,SEARCHED CASE EXPRESSION,SQL,1,0
0196bac7-895c-71d0-bec4-cde3b3063d35,Statement,DECLARE,SQL,10,0
0196bac7-895c-71d0-bec4-cde3b3063d35,<TSqlsGo-UNKNOWN>,GO,SQL,20,0
