SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'Print' NODE,input_mssql_procedures.sql,252,0,N/A,N/A,N/A,N/A,N/A,PRINT,N/A
0196914a-6079-7582-8542-c639925dff1a,Low,SSC-EWI-0040,Statement Not Supported,THE STATEMENT IS NOT SUPPORTED IN SNOWFLAKE,input_mssql_views.sql,110,0,N/A,N/A,N/A,N/A,N/A,SET,N/A
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,934,35,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'Print' NODE,input_mssql_procedures.sql,248,0,N/A,N/A,N/A,N/A,N/A,PRINT,N/A
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-TS0027,SET ANSI_NULLS ON statement may have a different behavior in Snowflake,SET ANSI_NULLS ON STATEMENT MAY HAVE A DIFFERENT BEHAVIOR IN SNOWFLAKE,input_mssql_views.sql,108,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Employee""",input_mssql_procedures.sql,222,0,N/A,N/A,N/A,"spGetResult(INT,INT,INT)","spGetResult(INT,INT,INT)",CREATE PROCEDURE,XS
0196914a-6079-7582-8542-c639925dff1a,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""[dbo].[udfBuildISO8601Date]""",input_mssql_views.sql,71,0,N/A,[dbo],N/A,[vTimeSeries],[dbo].[vTimeSeries],CREATE VIEW,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,933,35,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CREATE PROCEDURE' NODE,input_mssql_procedures.sql,236,1,N/A,N/A,N/A,"spGetResult(INT,INT,INT)","spGetResult(INT,INT,INT)",CREATE PROCEDURE,XS
0196914a-6079-7582-8542-c639925dff1a,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'CheckConstraintDefinition' NODE,input_mssql_tables.sql,932,41,N/A,[Production],N/A,[Product],[Production].[Product],CREATE TABLE,XS
