SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
0196bac7-895c-71d0-bec4-cde3b3063d35,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Employees""",SQ_SRV_procedure1_demo.sql,1,0,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'PRINT' NODE,SQ_SRV_procedure1_demo.sql,65,9,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,None,SSC-FDM-TS0023,Error message could be different in snowflake,ERROR MESSAGE COULD BE DIFFERENT IN SNOWFLAKE,SQ_SRV_procedure1_demo.sql,64,29,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'ROLLBACK TRANSACTION' NODE,SQ_SRV_procedure1_demo.sql,61,9,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,None,SSC-FDM-TS0019,RAISERROR error message may differ because of the SQL Server string format,RAISERROR ERROR MESSAGE MAY DIFFER BECAUSE OF THE SQL SERVER STRING FORMAT,SQ_SRV_procedure1_demo.sql,47,17,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'PRINT' NODE,SQ_SRV_procedure1_demo.sql,39,13,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,None,SSC-FDM-TS0019,RAISERROR error message may differ because of the SQL Server string format,RAISERROR ERROR MESSAGE MAY DIFFER BECAUSE OF THE SQL SERVER STRING FORMAT,SQ_SRV_procedure1_demo.sql,31,17,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'PRINT' NODE,SQ_SRV_procedure1_demo.sql,23,13,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,Low,SSC-EWI-0040,Statement Not Supported,THE STATEMENT IS NOT SUPPORTED IN SNOWFLAKE,SQ_SRV_procedure1_demo.sql,10,5,N/A,N/A,N/A,"ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)","ManageEmployeeData(VARCHAR,INT,VARCHAR,VARCHAR,INT,DECIMAL)",CREATE PROCEDURE,S
0196bac7-895c-71d0-bec4-cde3b3063d35,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECTS ""SourceDB.dbo.Customers"", ""SourceDB.dbo.Orders"", ""CurrencyRates"", ""DataWarehouse.dbo.DimCustomers"", ""DataWarehouse.dbo.FactOrders""",SQ_SRV_procedure12_demo.sql,1,0,N/A,N/A,N/A,ETL_Process,ETL_Process,CREATE PROCEDURE,XS
